Lake.Code,Station,Month,Day,Year,Time,Pool.Elevation,Surface.Temp,Secchi,Conductivity,Gear.Code,Gear.Length,Habitat,Effort,Species.Code,Number.of.individuals,TL_mm,Wt_g
WFALLS,S2,7,7,1982,2100,NA,29,NA,NA,10,12,49,468,109,1,34,NA
WFALLS,S2,7,7,1982,2100,NA,29,NA,NA,10,12,49,468,109,1,60,NA
WFALLS,S2,7,7,1982,2100,NA,29,NA,NA,10,12,49,468,109,1,71,NA
WFALLS,S2,7,7,1982,2100,NA,29,NA,NA,10,12,49,468,109,1,46,NA
WFALLS,S2,7,7,1982,2100,NA,29,NA,NA,10,12,49,468,109,1,42,NA
WFALLS,S2,7,7,1982,2100,NA,29,NA,NA,10,12,49,468,109,1,35,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,101,1,85,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,104,1,60,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,109,1,33,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,109,1,35,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,109,1,32,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,302,2,NA,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,301,1,NA,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,541,1,,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,505,89,,NA
WFALLS,S3,7,6,1982,1930,NA,29,NA,NA,10,12,49,468,579,40,,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,63,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,60,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,66,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,51,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,43,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,42,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,42,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,56,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,43,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,42,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,55,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,40,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,32,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,45,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,41,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,39,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,40,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,109,1,31,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,210,9,NA,NA
WFALLS,S1,7,7,1982,2000,NA,29,NA,NA,10,12,49,468,201,1,21,NA
